,title_review_comments,verified_purchase
0,men door get older know like suitable like give fresh wide away feel dandruff flakes smell a/pit,0
1,great admit lover three giant admit jar last probably whole life else would possible wish order came time mention safe pack happy,0
2,vitamin bed expel,0
3,hand flavour top keep cupboard great flavour top slow cook,0
4,hand say,1
5,near star expel item good,1
6,good thank inm happy,0
7,door beauty,0
8,repeat purchase away buy big bottle,0
9,expel bad treat hair away heavily mistress hair work wonder time time,0
10,recommend great value,0
11,happy it picture get star it regular it awesom people dry,0
12,really work item describe expel quality rapid deliver great merit red bluish,0
13,love good wash strong smell,0
14,toilet great,0
15,money worth,0
16,superb remember friend house year ago give month buy,1
17,great great,0
18,pay little better antiperspir best antiperspir unless like go work snow drift arm,0
19,smell love love,0
20,adduct eat i\added content love \added,1
21,beauty moisture love rang lotion aren\added greasy east apply soak quick leave feel super soft moisture great value money scent fresh light great go beauty essential bathroom cupboard review collect part promote,1
22,miracle bottle absolute love suffer dry sent vaselin make flare pitch like crazy first thing notice beauty fresh smell escape lift cap apply drop instant felt south relief vasili moisture absorb effortless greasy unlike clot moisture every day improve dry conduct massive could recommend enough absolute love review collect part promote,1
23,linger comfort smell clean really well absolute love stuff leave love linger fragrance smell time open wardrobe cloth drawer get every clean really well remind kid sum put fresh under cloth love,0
24,happy happy,0
25,perfect cashier sweeter silk top love wash cashier sweeter home save lot money compare cloth dryclean every week happy purchase,0
26,soft high recommend prior receive pretty rough elbow particular feel dry busy sum two admit sometime neglect may empathis trial gave perfect opportune recollect bit \did me time\did day bath shower smother must admit first time put wasn\added sure smell it\added offense it\added like succumb smell although it\added all tend smell perfume time howe day actual like smell applied went nice thick soak pretty quick didn\added feel stick away more wash did did even even bedtime feel notice softer rough elbow gone verdict thumb yes continue thank fall trial introduce vaselin all review collect part promote,1
27,describe quick deliver happy item,0
28,light feather really like texture almost like get really light vasili absorb leave feel soft fresh without weight thicker cream would buy review collect part promote,1
29,good smell nice,0
30,great great deal these shampoo give long last supply dont need keep buy good price,0
31,tenor great value,0
32,great price devil love comfort,0
33,luck horrible,1
34,great great buy,0
35,love design contain heavily perfume love contain east refill other automatic liquid future thick gloomy hard economy scent smell like wear wash may love ring,0
36,great dark wash sharp well,0
37,expel expel,0
38,christmas smell good pleasant smell tender boy love christmas,0
39,good shampoo devil quick decent shampoo star bottle leak devil,0
40,best make remove lot make brand past bought expense make remove none ever remove lascar eyeshadow found base etc gentle well simple clean lotion consist run squeeze bottle appropri onto cotton wool ideal control much dispense great tide eyelid lascar error apply scars cotton wool bud away keep bathroom cabinet pay,1
41,beat sure big jar cost doubt size though,1
42,bargain got offer â£d cloth soft smell great last long time did genuine well,0
43,great â£d may buy last month smelt may neighbour even ask buy,0
44,love scent great buy smell gorgeous,0
45,texture texture liked us bath/show,0
46,super buy share family,0
47,love smell love even better it deal,0
48,good seller great,0
49,advertise bought item give gift advertise moisture deeply nourish wash receive irritant bagnodoccia belleau language read even less distinct fragrance,0
50,good price good good price nice smell overflow doesnt leave white powder mess like anti perspire happy,0
51,good buy good wipe good buy,0
52,smell great miss well happy nice fragrance seem last cloth,0
53,leave colour hair shiny tresemm year previous regular heat protect recommend colour treat hair gave go give look back leave hair love shine give got dy red hair hard keep look health seem good job heat protect dry hair straighten long seem keep damage away,1
54,great value much cheaper boot great value,0
55,hope like blue version overflow a smell,1
56,great clean great value pack like regular wash every clean two load g wash lot white wash give extra boost machine water cycle good value money buy pack three regular purchase,0
57,comfort soften expel value carry,0
58,price wash,0
59,best wash liquid love fresh smell,0
60,happy great item,0
61,good tactic what like good last like spare rib,0
