,online_store,brand,category,product_description,review_rating,review_title,review_text,review_type,parent_review,verified_purchase,helpful_review_count,review_delt,title_review_comments,char_count,word_count,sent_count,capital_char_count,capital_word_count,quoted_word_count,stopword_count,unique_word_count,htag_count,mention_count,avg_wordlength,avg_sentlength,unique_vs_words,stopwords_vs_words,! count,""" count",# count,$ count,% count,& count,' count,( count,) count,* count,+ count,", count",- count,. count,/ count,: count,; count,< count,= count,> count,? count,@ count,[ count,\ count,] count,^ count,_ count,` count,{ count,| count,} count,~ count
0,4,12,2,Dove Men+Care Extra Fresh Anti-perspirant Deodorant Aerosol 250ml,5,Dove MenÂs + Deodorant,"As you get older, you know what you like and what is suitable for your body. I like all Dove products. Gives you that fresh all over, wide awake feeling and no dandruff or flakey skin. No smelly a/pits!",0,0,0,0,1,men door get older know like suitable like give fresh wide away feel dandruff flakes smell a/pit,226,43,4,9,1,0,17,35,0,0,5.255813953488372,10.75,0.813953488372093,0.3953488372093023,1,0,0,0,0,0,0,0,0,0,1,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,19,0,Marmite  Spread Yeast Extract 500g,5,Great for a marmite lover!,"Three gigantic marmite jars that will last probably a whole life! What else would you possibly wish for? Order came in time, when mentioned, safely packed. Very happy with it.",0,0,0,0,1,great admit lover three giant admit jar last probably whole life else would possible wish order came time mention safe pack happy,202,35,5,5,0,0,11,33,0,0,5.771428571428571,7.0,0.9428571428571428,0.3142857142857143,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,4,19,0,Marmite  Spread Yeast Extract 500g,4,Vitamin B12.,Excellent,0,0,0,0,1,vitamin bed expel,22,3,2,3,1,0,0,3,0,0,7.333333333333333,1.5,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,15,0,Knorr  Beef Stock Pot 8 x 28g,5,A Very Handy Flavour Top - Up to Keep In The Cupboard.,A great flavour top - up for slow cooking.,0,1,0,0,1,hand flavour top keep cupboard great flavour top slow cook,97,21,2,11,2,0,3,19,0,0,4.619047619047619,10.5,0.9047619047619048,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,6,1,Cif Citrus Bathroom Mousse 500ml,5,Very handy,Does what is says it does,0,1,1,0,1,hand say,36,8,1,2,0,0,4,8,0,0,4.5,8.0,1.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,19,0,Marmite  Spread Yeast Extract 500g,4,Vitamin B12.,Excellent,0,0,0,0,2,vitamin bed expel,22,3,2,3,1,0,0,3,0,0,7.333333333333333,1.5,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,19,0,Marmite  Spread Yeast Extract 500g,5,Great for a marmite lover!,"Three gigantic marmite jars that will last probably a whole life! What else would you possibly wish for? Order came in time, when mentioned, safely packed. Very happy with it.",0,0,0,0,2,great admit lover three giant admit jar last probably whole life else would possible wish order came time mention safe pack happy,202,35,5,5,0,0,11,33,0,0,5.771428571428571,7.0,0.9428571428571428,0.3142857142857143,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,1,15,0,Knorr  Beef Stock Pot 8 x 28g,5,A Very Handy Flavour Top - Up to Keep In The Cupboard.,A great flavour top - up for slow cooking.,0,1,0,0,2,hand flavour top keep cupboard great flavour top slow cook,97,21,2,11,2,0,3,19,0,0,4.619047619047619,10.5,0.9047619047619048,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4,12,2,Dove Men+Care  Clean Comfort Aerosol Anti-perspirant Deodorant 250ml,4,nearly 5 star,Excellent item.Good for men,0,1,1,0,1,near star expel item good,41,7,1,2,0,0,1,7,0,0,5.857142857142857,7.0,1.0,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,4,15,0,Knorr  Chicken Stock Pot 8 x 28g,5,Good,Thank you IÂm very happy,0,1,0,0,1,good thank inm happy,30,6,1,4,0,0,2,6,0,0,5.0,6.0,1.0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
