,title_review_comments,verified_purchase
0,"Dove Mens + Deodorant As you get older, you know what you like and what is suitable for your body. I like all Dove products. Gives you that fresh all over, wide awake feeling and no dandruff or flakey skin. No smelly a/pits!",0
1,"Great for a marmite lover! Three gigantic marmite jars that will last probably a whole life! What else would you possibly wish for? Order came in time, when mentioned, safely packed. Very happy with it.",0
2,Vitamin B12. Excellent,0
3,A Very Handy Flavour Top - Up to Keep In The Cupboard. A great flavour top - up for slow cooking.,0
4,Very handy Does what is says it does,1
5,Vitamin B12. Excellent,0
6,"Great for a marmite lover! Three gigantic marmite jars that will last probably a whole life! What else would you possibly wish for? Order came in time, when mentioned, safely packed. Very happy with it.",0
7,A Very Handy Flavour Top - Up to Keep In The Cupboard. A great flavour top - up for slow cooking.,0
8,nearly 5 star Excellent item.Good for men,1
9,Good Thank you Im very happy,0
10,Good Thank you Im very happy,0
11,Deodorant Beautiful,0
12,Repeat purchase Always buy. Big bottles,0
13,Very handy Does what is says it does,1
14,Excellent on my badly treated hair Always use this product on my heavily mistreated hair and it works wonders time after time,0
15,Recommend Great value,0
16,Excellent on my badly treated hair Always use this product on my heavily mistreated hair and it works wonders time after time,0
17,"Happy Its not the one in the picture, but gets 5 stars because its the regular one I use and its awesome for people with dry skin.",0
18,"Really works Item as described, excellent quality, rapid delivery Great for skin irritations, redness, blemishes",0
19,Lovely Good body wash but not a very strong smell,0
20,Toiletries Great,0
21,Toiletries Great,0
22,More for your money! Worth it!,0
23,Superb I remember trying this at a friends house years ago. Now Ive been using it for about 3-months and its the only one Ill buy.,1
24,Great Great,0
25,Pay a little more for a better antiperspirant Not the best antiperspirant out there unless you like going to work with a snow drift under your arm.,0
26,Smells lovely Love this product,0
27,Addicted If I die eating one of these I\u2019ll die a very contented man. I love \u2018em,1
28,"Beautifully Moisturising I love this range of body lotions as they aren\u2019t greasy, are easy to apply and soak in quickly and leave my skin feeling super soft and moisturised. Great value for money and the scent is fresh and light, a great go to beauty essential in my bathroom cupboard. [This review was collected as part of a promotion.]",1
29,"A miracle in a bottle! Absolutely love this product! I suffer with dry sensitive skin and vaseline is one of very few products that doesn't make my skin flare up and itch like crazy!The first thing I noticed was the beautiful fresh smell that escaped as I lifted the cap, as I applied a drop to my skin I instantly felt a soothing relief and easily moisturised into my skin absorbing effortlessly and not at all greasy unlike alot of other moisturisers I've tried! I use this product every day and it has improved my dry skin condition massively couldn't recommend this product enough I absolutely love it! [This review was collected as part of a promotion.]",1
30,"Lingering, comforting smell and cleans really well Absolutely love this stuff ... leaves a lovely lingering fragrance that you can smell each time you open a wardrobe or clothes drawer ... gets everything clean really well too Reminds me of when I was a kid and Mum just put me in some freshly laundered clothes ... lovely",0
31,Very happy with it Very happy with it,0
32,Perfect for cashmere sweaters and silk tops I love that I now wash my cashmere sweaters at home. Saves me a lot of money compared to taking my clothes to the dry-cleaners every week. Very happy with my purchase,0
33,Skin so soft.. highly recommend! So prior to receiving this I had pretty rough elbows in particular and my skin feels dry. As a busy mum of two I admit I sometimes neglect myself.. some of you may empathise! But this product trial gave me the perfect opportunity to reconnect with myself and have a bit of \u201Cme time\u201D. So for 3 days after my baths / shower I smothered myself with this. I must admit the first time I put this on I wasn\u2019t sure about the smell. It\u2019s not offensive it\u2019s like a cucumber smell (although it\u2019s aloe) but I tend to smell of perfumes all the time.. however by day 3 I actually liked the smell. Application: it went on nicely not too thick and soaked in pretty quickly it didn\u2019t feel sticky. I always have my morning wash by 07:30 but even in the evening before bedtime my skin is feeling noticibly softer and my rough elbows gone. Verdict: thumbs up. Yes I will be continuing to use this thank you for a fab product trial and for introducing me to Vaseline Aloe! [This review was collected as part of a promotion.],1
34,"As described, quick delivery Happy with item",0
35,"Light as a feather I really like this. The texture is almost like a gel so it's really light and easily absorbed into my skin, leaving it feel soft and fresh, without any of the weight that some thicker creams have.I would buy it again. [This review was collected as part of a promotion.]",1
36,Good Smells nice,0
37,Great. A great deal on treseme shampoo giving a long lasting supply so you dont need to keep buying more and very good price.,0
38,"As described, quick delivery Happy with item",0
39,"Dove Mens + Deodorant As you get older, you know what you like and what is suitable for your body. I like all Dove products. Gives you that fresh all over, wide awake feeling and no dandruff or flakey skin. No smelly a/pits!",0
40,Lenor Great value,0
41,Great price delivered to your door Love this comfort,0
42,yuck Horrible.,1
43,a great product a great buy,0
44,"Love the design of the container but it is heavily perfumed, not for me! Love the container, easy to pour, but am refilling with A. Nother automatic liquid in future as it is very thick and gloopy (hard to be economical) and it is so scented you smell like it when wearing what you washed (which some may love but I do not!) -after 3 rinses!",0
45,Great for darks Washes sharks well,0
46,excellent excellent,0
47,Good Thank you Im very happy,0
48,Christmas smellies Good pleasant smelling deoderant boys will love it at christmas.,0
49,Good shampoo delivered quickly and decent shampoo. only 4 star as one bottle was leaking when delivered,0
50,"Best Make-up remover product Have used a lot of make-up brands and in the past bought their more expensive make-up remover products, but none have ever removed mascara, eye-shadow, foundation bases etc as gently and as well as Simple Cleansing Lotion. Its consistency is not runny, you have to squeeze the bottle appropriately onto the cotton wool, which is ideal for controlling how much is dispensed. Also great for tidying up eyeliner or mascara errors when applied sparsely on a cotton wool bud. Always keep this now in my bathroom cabinet. Why pay more?",1
51,can't beat it not sure why the big jar costs more than double this size though!,1
52,"what a bargain Got this on offer for £6, clothes come out very soft, and smelling great. and It should last a long time too, its 100% genuine as well",0
53,"Great For £6 this is an amazing buy- lasted me months!, smelt amazing and my neighbour even asked me to buy her one!",0
54,"Lovely scent Great buy, smells gorgeous",0
55,"what a bargain Got this on offer for £6, clothes come out very soft, and smelling great. and It should last a long time too, its 100% genuine as well",0
56,"Lovely scent Great buy, smells gorgeous",0
57,"Great For £6 this is an amazing buy- lasted me months!, smelt amazing and my neighbour even asked me to buy her one!",0
58,Texture Texture liked.used for bath/shower,0
59,super buy shared with family,0
60,We love the smell We love it and even better when its on a deal,0
61,Good seller Great product!,0
62,"Not as advertised Bought items to give as gifts, it was advertised as Dove Moisturising Deeply Nourishing Body Wash but I received Dove idratante bagnodoccia di belleza, a language I cannot read. Even has a less distinct fragrance.",0
63,Christmas smellies Good pleasant smelling deoderant boys will love it at christmas.,0
64,"Good price, good product Good price and nice smell, not overpowering. Doesnt leave white powdery mess like some anti perspirents do. Happy.",0
65,Great. A great deal on treseme shampoo giving a long lasting supply so you dont need to keep buying more and very good price.,0
66,Good shampoo delivered quickly and decent shampoo. only 4 star as one bottle was leaking when delivered,0
67,"Good buy Good wipes, good buy",0
68,"Great for a marmite lover! Three gigantic marmite jars that will last probably a whole life! What else would you possibly wish for? Order came in time, when mentioned, safely packed. Very happy with it.",0
69,a great product a great buy,0
70,"Smells great, misses well happy Nice fragrance and it seems to last on the clothes.",0
71,"Smells great, misses well happy Nice fragrance and it seems to last on the clothes.",0
72,"Smells great, misses well happy Nice fragrance and it seems to last on the clothes.",0
73,"Dove Mens + Deodorant As you get older, you know what you like and what is suitable for your body. I like all Dove products. Gives you that fresh all over, wide awake feeling and no dandruff or flakey skin. No smelly a/pits!",0
74,Vitamin B12. Excellent,0
75,"Leaves coloured hair shiny! I've been Using tresemme products for years. Previously the regular heat protection but after being recommended this one for colour treated hair gave it a go and Ive not looked back! Leaves my hair with a lovely shine, ive got dyed red hair so it can be hard to keep looking healthy. Seems to do a Good job with heat protection too. I only dry my hair, no straighteners or tongs but seems to keep the damage away",1
76,Great Value So much cheaper than in Boots. Great value!!!,0
77,"Nope I like the blue version but this is such an overpowering, awful smell it had to be binned.",1
78,"Great cleaning.... Great value pack of 3 I like these, I use only one in the regular wash and everything comes clean. I'll use two if I load a 9kg wash or if I have a lot of white washing just to give an extra boost as the machine uses more water on these cycles. It's good value for money buying in a pack of three so these are a regular purchase for me.",0
79,Comfort softener Excellent value and you don't hav to carry it,0
80,Price Washing,0
81,Comfort softener Excellent value and you don't hav to carry it,0
82,"Great cleaning.... Great value pack of 3 I like these, I use only one in the regular wash and everything comes clean. I'll use two if I load a 9kg wash or if I have a lot of white washing just to give an extra boost as the machine uses more water on these cycles. It's good value for money buying in a pack of three so these are a regular purchase for me.",0
83,"Great cleaning.... Great value pack of 3 I like these, I use only one in the regular wash and everything comes clean. I'll use two if I load a 9kg wash or if I have a lot of white washing just to give an extra boost as the machine uses more water on these cycles. It's good value for money buying in a pack of three so these are a regular purchase for me.",0
84,"Great cleaning.... Great value pack of 3 I like these, I use only one in the regular wash and everything comes clean. I'll use two if I load a 9kg wash or if I have a lot of white washing just to give an extra boost as the machine uses more water on these cycles. It's good value for money buying in a pack of three so these are a regular purchase for me.",0
85,Best washing liquid Lovely fresh smell,0
86,happy great item,0
87,Noodle tastic Whats not to like noodles that taste like spare ribs,0
88,"Great cleaning.... Great value pack of 3 I like these, I use only one in the regular wash and everything comes clean. I'll use two if I load a 9kg wash or if I have a lot of white washing just to give an extra boost as the machine uses more water on these cycles. It's good value for money buying in a pack of three so these are a regular purchase for me.",0
89,Great Value So much cheaper than in Boots. Great value!!!,0
90,"Good if you have sensitive skin This is a good deodorant if you have easily irritated skin. It's like Dove soap in that it doesn't seem to irritate or dry out skin. I've used Dove soaps for quite a long time and this is certainly something which they are good for, this seems to be as good as all of them. It's main selling point, beyond being an effective 24 hour deodorant, is that it is not prone to marking your clothes. It certainly seems to work as far as that goes too, though we haven't been able to test on every single colour. Good though. Recommended.",1
91,Price Washing,0
92,The real dove not a copy. Great body wash. Cheap and fast delivery,0
93,"Why plastic? yet to try the taste but why, in this day and age, start producing what was perfect in glass bottles suddenly in plastic?",1
94,"Why plastic? yet to try the taste but why, in this day and age, start producing what was perfect in glass bottles suddenly in plastic?",1
95,"Angry and useless product Not even worth one star. Bring out a lot of white stuff, had high expectations but this product is a total failure and waste.",0
96,Sure men Bought this for my step dad,0
97,Lynx effect? Definitely depends on the person Love this on my OH. It smells so good on him but I hated it for years and still do on everyone else,0
98,Good price Great gift,0
99,classic and the best This is a classic and you know when its Hellmans Mayo. Cap stays so much cleaner than the jar. Tastes great with EVERYTHING!,1
100,Cool Cool,0
101,Good seller Great product!,0
102,Cocoa Butter Skin Absolutely great moistures for dry skin. Can complain. Its smells great of the skin if you like that coca butter smell.,0
103,Persil combo buy Great package buy,0
104,Good price Great gift,0
105,Lynx effect? Definitely depends on the person Love this on my OH. It smells so good on him but I hated it for years and still do on everyone else,0
106,Invisible and smell lovely Works well and truly invisible,0
107,"Angry and useless product Not even worth one star. Bring out a lot of white stuff, had high expectations but this product is a total failure and waste.",0
108,Well priced Nice and cost effective,0
109,Great Great,0
110,Great Does exactly what it says my kitchen sink is always getting blocked and since I have put this down it has not been blocked for the last 2 months,0
111,"Pleasant scent This is my favourite scent from the intense range, smells lovely and lasts ages on my clothes. I do use more than the recommended amount otherwise the scent isnt very strong, so it definitely doesnt do 64 washes, probably half that.",1
112,my favourite detergent I find these to be the best for my laundry and a part of that includes only using one - not over dosing like I do with liquid or powders. smells great and washes well.,1
113,gorgeous And under 150 calories for a really big portion,1
114,"Why plastic? yet to try the taste but why, in this day and age, start producing what was perfect in glass bottles suddenly in plastic?",1
115,"Why plastic? yet to try the taste but why, in this day and age, start producing what was perfect in glass bottles suddenly in plastic?",1
116,"Why plastic? yet to try the taste but why, in this day and age, start producing what was perfect in glass bottles suddenly in plastic?",1
117,"Why plastic? yet to try the taste but why, in this day and age, start producing what was perfect in glass bottles suddenly in plastic?",1
118,"Why plastic? yet to try the taste but why, in this day and age, start producing what was perfect in glass bottles suddenly in plastic?",1
119,A good product The cream is very easy to apply and feels extremly cooling. It doesnt dry with any kind of sticky feeling to it. There is very little or no scent to it so the fact the the frangrance is fairly neutral is good. The cream spread and soaks in very easily [This review was collected as part of a promotion.],1
120,"Beautiful product Execellent product, made my skin feel silky smooth and extremely hydrated. Used it for a couple of weeks and my skin felt healthier, more hydrated and overall looked better. Would definitely recommend this product to a friend. [This review was collected as part of a promotion.]",1
121,"Smooth, clear skin This cream is light, odourless and leaves the skin feeling genuinely smooth, supple and refreshed. I use it as part of my nightly routine - applying it when going to bed after washing and drying my face. It is light enough not to clog the pores or feel sticky on the face, and in the morning my face always feels smooth and replenished. I have also tried using this cream during the daytime and, while it has all the benefits described above, it\u2019s not long-lasting enough in terms of the hydration it gives, meaning you often feel the need to reapply after a few hours. All in all a great overnight moisturiser if you have sensitive skin - it\u2019s unscented and it\u2019s really gentle on sore patches. [This review was collected as part of a promotion.]",1
122,Fresh and Clean Fresh and clean. Reliable delivery,0
123,Great Does exactly what it says my kitchen sink is always getting blocked and since I have put this down it has not been blocked for the last 2 months,0
124,Great Great,0
125,Well priced Nice and cost effective,0
126,"Clean and nice smelling Great combination, started using when my now 3yo was born and am still using it",0
127,Came really quickly Nice and fresh smelling products,0
