,online_store,brand,category,product_description,review_rating,review_title,review_text,review_type,parent_review,verified_purchase,helpful_review_count,review_delt,title_review_comments
0,4,12,2,Dove Men+Care Extra Fresh Anti-perspirant Deodorant Aerosol 250ml,5,Dove Mens + Deodorant,"As you get older, you know what you like and what is suitable for your body. I like all Dove products. Gives you that fresh all over, wide awake feeling and no dandruff or flakey skin. No smelly a/pits!",0,0,0,0,1,"Dove Mens + Deodorant As you get older, you know what you like and what is suitable for your body. I like all Dove products. Gives you that fresh all over, wide awake feeling and no dandruff or flakey skin. No smelly a/pits!"
1,4,19,0,Marmite  Spread Yeast Extract 500g,5,Great for a marmite lover!,"Three gigantic marmite jars that will last probably a whole life! What else would you possibly wish for? Order came in time, when mentioned, safely packed. Very happy with it.",0,0,0,0,1,"Great for a marmite lover! Three gigantic marmite jars that will last probably a whole life! What else would you possibly wish for? Order came in time, when mentioned, safely packed. Very happy with it."
2,4,19,0,Marmite  Spread Yeast Extract 500g,4,Vitamin B12.,Excellent,0,0,0,0,1,Vitamin B12. Excellent
3,4,15,0,Knorr  Beef Stock Pot 8 x 28g,5,A Very Handy Flavour Top - Up to Keep In The Cupboard.,A great flavour top - up for slow cooking.,0,1,0,0,1,A Very Handy Flavour Top - Up to Keep In The Cupboard. A great flavour top - up for slow cooking.
4,4,6,1,Cif Citrus Bathroom Mousse 500ml,5,Very handy,Does what is says it does,0,1,1,0,1,Very handy Does what is says it does
5,1,19,0,Marmite  Spread Yeast Extract 500g,4,Vitamin B12.,Excellent,0,0,0,0,2,Vitamin B12. Excellent
6,1,19,0,Marmite  Spread Yeast Extract 500g,5,Great for a marmite lover!,"Three gigantic marmite jars that will last probably a whole life! What else would you possibly wish for? Order came in time, when mentioned, safely packed. Very happy with it.",0,0,0,0,2,"Great for a marmite lover! Three gigantic marmite jars that will last probably a whole life! What else would you possibly wish for? Order came in time, when mentioned, safely packed. Very happy with it."
7,1,15,0,Knorr  Beef Stock Pot 8 x 28g,5,A Very Handy Flavour Top - Up to Keep In The Cupboard.,A great flavour top - up for slow cooking.,0,1,0,0,2,A Very Handy Flavour Top - Up to Keep In The Cupboard. A great flavour top - up for slow cooking.
8,4,12,2,Dove Men+Care  Clean Comfort Aerosol Anti-perspirant Deodorant 250ml,4,nearly 5 star,Excellent item.Good for men,0,1,1,0,1,nearly 5 star Excellent item.Good for men
9,4,15,0,Knorr  Chicken Stock Pot 8 x 28g,5,Good,Thank you Im very happy,0,1,0,0,1,Good Thank you Im very happy
10,4,15,0,Knorr  Rich Beef Stock Pot 8 x 28g,5,Good,Thank you Im very happy,0,1,0,0,1,Good Thank you Im very happy
11,4,12,2,Dove Men+Care  Clean Comfort Aerosol Anti-perspirant Deodorant 250ml,5,Deodorant,Beautiful,0,1,0,0,1,Deodorant Beautiful
12,4,31,2,Tresemme Moisture Rich Conditioner 900ml,5,Repeat purchase,Always buy. Big bottles,0,0,0,0,1,Repeat purchase Always buy. Big bottles
13,0,6,1,Cif Citrus Bathroom Mousse 500ml,5,Very handy,Does what is says it does,0,0,1,0,10,Very handy Does what is says it does
14,0,31,2,Tresemme Silky Smooth Conditioner 900ml,5,Excellent on my badly treated hair,Always use this product on my heavily mistreated hair and it works wonders time after time,0,0,0,0,10,Excellent on my badly treated hair Always use this product on my heavily mistreated hair and it works wonders time after time
15,4,10,1,Domestos  Original Bleach 750ml,5,Recommend,Great value,0,1,0,0,1,Recommend Great value
16,1,31,2,Tresemme Silky Smooth Conditioner 900ml,5,Excellent on my badly treated hair,Always use this product on my heavily mistreated hair and it works wonders time after time,0,1,0,0,12,Excellent on my badly treated hair Always use this product on my heavily mistreated hair and it works wonders time after time
17,4,11,2,Dove Nutritive Solutions Daily Moisture Shampoo 250ml,5,Happy,"Its not the one in the picture, but gets 5 stars because its the regular one I use and its awesome for people with dry skin.",0,1,0,0,1,"Happy Its not the one in the picture, but gets 5 stars because its the regular one I use and its awesome for people with dry skin."
18,4,34,2,Vaseline Intensive Care Aloe Soothe Body Lotion 400ml,5,Really works,"Item as described, excellent quality, rapid delivery Great for skin irritations, redness, blemishes",0,1,0,0,1,"Really works Item as described, excellent quality, rapid delivery Great for skin irritations, redness, blemishes"
19,4,11,2,Dove  Gentle Exfoliating Body wash 250ml,5,Lovely,Good body wash but not a very strong smell,0,1,0,0,1,Lovely Good body wash but not a very strong smell
20,4,11,2,Dove Nutritive Solutions Daily Moisture Shampoo 250ml,5,Toiletries,Great,0,1,0,0,1,Toiletries Great
21,4,11,2,Dove  Gentle Exfoliating Body wash 250ml,5,Toiletries,Great,0,1,0,0,1,Toiletries Great
22,4,20,3,PG tips  Original Tea Bags 240,5,More for your money!,Worth it!,0,0,0,0,1,More for your money! Worth it!
23,6,1,2,Badedas  Original Bath 750ml,5,Superb,I remember trying this at a friends house years ago. Now Ive been using it for about 3-months and its the only one Ill buy.,0,1,1,0,2,Superb I remember trying this at a friends house years ago. Now Ive been using it for about 3-months and its the only one Ill buy.
24,1,8,1,Comfort  Blue Skies Fabric Conditioner 114 Wash 4L,5,Great,Great,0,1,0,0,20,Great Great
25,4,12,2,Dove Men+Care  Clean Comfort Aerosol Anti-perspirant Deodorant 250ml,3,Pay a little more for a better antiperspirant,Not the best antiperspirant out there unless you like going to work with a snow drift under your arm.,0,1,0,0,1,Pay a little more for a better antiperspirant Not the best antiperspirant out there unless you like going to work with a snow drift under your arm.
26,4,12,2,Dove Men+Care  Clean Comfort Aerosol Anti-perspirant Deodorant 250ml,5,Smells lovely,Love this product,0,1,0,0,1,Smells lovely Love this product
27,2,17,3,Magnum Almond Ice Cream 4 x 100ml,5,Addicted,If I die eating one of these I\u2019ll die a very contented man. I love \u2018em,0,1,1,0,1,Addicted If I die eating one of these I\u2019ll die a very contented man. I love \u2018em
28,2,34,2,Vaseline Intensive Care Aloe Soothe Body Lotion 400ml,5,Beautifully Moisturising,"I love this range of body lotions as they aren\u2019t greasy, are easy to apply and soak in quickly and leave my skin feeling super soft and moisturised. Great value for money and the scent is fresh and light, a great go to beauty essential in my bathroom cupboard. [This review was collected as part of a promotion.]",0,1,1,0,1,"Beautifully Moisturising I love this range of body lotions as they aren\u2019t greasy, are easy to apply and soak in quickly and leave my skin feeling super soft and moisturised. Great value for money and the scent is fresh and light, a great go to beauty essential in my bathroom cupboard. [This review was collected as part of a promotion.]"
29,2,34,2,Vaseline Intensive Care Aloe Soothe Body Lotion 400ml,5,A miracle in a bottle! Absolutely love this product!,"I suffer with dry sensitive skin and vaseline is one of very few products that doesn't make my skin flare up and itch like crazy!The first thing I noticed was the beautiful fresh smell that escaped as I lifted the cap, as I applied a drop to my skin I instantly felt a soothing relief and easily moisturised into my skin absorbing effortlessly and not at all greasy unlike alot of other moisturisers I've tried! I use this product every day and it has improved my dry skin condition massively couldn't recommend this product enough I absolutely love it! [This review was collected as part of a promotion.]",0,1,1,0,1,"A miracle in a bottle! Absolutely love this product! I suffer with dry sensitive skin and vaseline is one of very few products that doesn't make my skin flare up and itch like crazy!The first thing I noticed was the beautiful fresh smell that escaped as I lifted the cap, as I applied a drop to my skin I instantly felt a soothing relief and easily moisturised into my skin absorbing effortlessly and not at all greasy unlike alot of other moisturisers I've tried! I use this product every day and it has improved my dry skin condition massively couldn't recommend this product enough I absolutely love it! [This review was collected as part of a promotion.]"
30,1,29,1,Surf  Tropical Lily Washing Liquid 85 Wash 3L,5,"Lingering, comforting smell and cleans really well",Absolutely love this stuff ... leaves a lovely lingering fragrance that you can smell each time you open a wardrobe or clothes drawer ... gets everything clean really well too Reminds me of when I was a kid and Mum just put me in some freshly laundered clothes ... lovely,0,1,0,0,25,"Lingering, comforting smell and cleans really well Absolutely love this stuff ... leaves a lovely lingering fragrance that you can smell each time you open a wardrobe or clothes drawer ... gets everything clean really well too Reminds me of when I was a kid and Mum just put me in some freshly laundered clothes ... lovely"
31,1,29,1,Surf  Tropical Lily Washing Liquid 85 Wash 3L,5,Very happy with it,Very happy with it,0,1,0,0,24,Very happy with it Very happy with it
32,4,21,1,Persil  Silk and Wool Washing Liquid 15 Wash 750ml,5,Perfect for cashmere sweaters and silk tops,I love that I now wash my cashmere sweaters at home. Saves me a lot of money compared to taking my clothes to the dry-cleaners every week. Very happy with my purchase,0,1,0,0,1,Perfect for cashmere sweaters and silk tops I love that I now wash my cashmere sweaters at home. Saves me a lot of money compared to taking my clothes to the dry-cleaners every week. Very happy with my purchase
33,2,34,2,Vaseline Intensive Care Aloe Soothe Body Lotion 400ml,5,Skin so soft.. highly recommend!,So prior to receiving this I had pretty rough elbows in particular and my skin feels dry. As a busy mum of two I admit I sometimes neglect myself.. some of you may empathise! But this product trial gave me the perfect opportunity to reconnect with myself and have a bit of \u201Cme time\u201D. So for 3 days after my baths / shower I smothered myself with this. I must admit the first time I put this on I wasn\u2019t sure about the smell. It\u2019s not offensive it\u2019s like a cucumber smell (although it\u2019s aloe) but I tend to smell of perfumes all the time.. however by day 3 I actually liked the smell. Application: it went on nicely not too thick and soaked in pretty quickly it didn\u2019t feel sticky. I always have my morning wash by 07:30 but even in the evening before bedtime my skin is feeling noticibly softer and my rough elbows gone. Verdict: thumbs up. Yes I will be continuing to use this thank you for a fab product trial and for introducing me to Vaseline Aloe! [This review was collected as part of a promotion.],0,1,1,0,1,Skin so soft.. highly recommend! So prior to receiving this I had pretty rough elbows in particular and my skin feels dry. As a busy mum of two I admit I sometimes neglect myself.. some of you may empathise! But this product trial gave me the perfect opportunity to reconnect with myself and have a bit of \u201Cme time\u201D. So for 3 days after my baths / shower I smothered myself with this. I must admit the first time I put this on I wasn\u2019t sure about the smell. It\u2019s not offensive it\u2019s like a cucumber smell (although it\u2019s aloe) but I tend to smell of perfumes all the time.. however by day 3 I actually liked the smell. Application: it went on nicely not too thick and soaked in pretty quickly it didn\u2019t feel sticky. I always have my morning wash by 07:30 but even in the evening before bedtime my skin is feeling noticibly softer and my rough elbows gone. Verdict: thumbs up. Yes I will be continuing to use this thank you for a fab product trial and for introducing me to Vaseline Aloe! [This review was collected as part of a promotion.]
34,0,16,2,Lynx Africa Body Spray Deodorant Aerosol 200ml,5,"As described, quick delivery",Happy with item,0,1,0,0,16,"As described, quick delivery Happy with item"
